acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
0,C_0,I,A,USD,false,1,0,1000000,96646.86,,bank,Stephanie,Collins,48764 Howard Forge Apt. 421,Vanessaside,VT,US,79393,Female,2006-08-02,076-88-5410,73.479690,60.2738415
1,C_1,I,A,USD,false,1,0,1000000,80707.36,,bank,Ronald,Cook,9387 Grimes Green Apt. 801,Pagetown,KS,US,65195,Male,2006-08-24,334-91-1032,-77.421639,62.3400045
2,C_2,I,A,USD,false,1,0,1000000,52101.10,,bank,Robin,Fernandez,711 Golden Overpass,West Andreaville,AK,US,44115,Female,2016-01-21,618-71-9628,-25.565183,29.450832
3,C_3,I,A,USD,false,1,0,1000000,90324.40,,bank,Stephanie,Leblanc,9342 Lori Bypass Suite 711,East Sandra,MD,US,11019,Female,1980-10-30,700-51-8595,-32.020057,50.066962
4,C_4,I,A,USD,false,1,0,1000000,91267.86,,bank,Mark,Bruce,969 Hayes Shore,Christopherville,SC,US,77450,Male,1940-05-01,017-94-4441,-117.114006,-30.820575
5,C_5,I,A,USD,false,1,0,1000000,77717.44,,bank,Bryan,Davis,6012 Brandon Ports,North Davidborough,MS,US,75992,Male,2020-09-27,119-05-9921,-168.383986,-37.764890
6,C_6,I,A,USD,false,1,0,1000000,69099.23,,bank,Catherine,Gordon,086 Mary Cliff,North Deborah,NY,US,57657,Female,1912-08-12,611-13-6411,-72.971675,-20.171012
7,C_7,I,A,USD,false,1,0,1000000,97479.13,,bank,Shaun,Lowery,230 Megan Junctions Suite 197,North Thomas,TX,US,75095,Male,1995-07-29,366-50-4112,-97.637148,60.484975
8,C_8,I,A,USD,true,1,0,1000000,98752.44,,bank,James,Perry,150 Taylor Track Suite 594,Brittanyberg,VT,US,41172,Male,1995-11-01,083-01-9742,-76.754602,-0.234729
9,C_9,I,A,USD,true,1,0,1000000,88834.29,,bank,Amy,Miles,769 Johnson Well,Bartonton,NC,US,58874,Female,1968-01-02,541-63-9199,144.257890,-89.9814355
10,C_10,I,A,USD,false,1,0,1000000,92168.76,,bank,Paul,Baird,4706 Amy Roads Apt. 206,Stewartborough,DC,US,94522,Male,1999-03-24,542-79-1603,-77.747603,-58.081979
11,C_11,I,A,USD,false,1,0,1000000,81167.91,,bank,Brandi,Meyer,4217 Burton Brooks,Robinville,NE,US,34119,Female,1995-10-29,661-45-1886,-97.085583,-15.2649345
12,C_12,I,A,USD,false,1,0,1000000,73205.69,,bank,Jacqueline,Medina,34855 Meghan Squares,Josephmouth,SD,US,57575,Female,1935-07-17,385-76-4769,-175.223413,-52.8332455
13,C_13,I,A,USD,false,1,0,1000000,98213.62,,bank,Karen,Allen,5159 Blake Estates Apt. 945,Haysberg,OR,US,15560,Female,1913-10-27,316-23-8570,-141.955780,-8.752464
14,C_14,I,A,USD,false,1,0,1000000,55914.61,,bank,Michael,Moore,6118 Wells Ville Suite 171,Simmonsport,GA,US,96806,Male,1929-12-03,642-73-6154,162.995295,-66.6671135
15,C_15,I,A,USD,false,1,0,1000000,55743.03,,bank,Claudia,Miller,30601 Hawkins Highway,Morashire,VT,US,89538,Female,1937-03-20,268-75-2730,51.510024,-38.4751525
16,C_16,I,A,USD,false,1,0,1000000,50963.87,,bank,Marcus,Garcia,087 David Locks,Jaredton,WY,US,28798,Male,1969-08-23,388-47-8953,-98.752978,-61.882385
17,C_17,I,A,USD,false,1,0,1000000,93010.16,,bank,Shannon,Morrison,930 Thornton Summit,Lisaton,KY,US,19947,Male,1928-06-22,863-49-9552,-21.954682,36.2804625
18,C_18,I,A,USD,false,1,0,1000000,92937.23,,bank,Sheila,Murray,013 Billy Bridge,Riveraburgh,WY,US,20007,Female,1957-10-16,518-49-8681,89.739300,-80.975734
19,C_19,I,A,USD,false,1,0,1000000,78765.19,,bank,Mary,Smith,634 Petersen Orchard,Lawsonbury,AZ,US,03185,Female,1932-01-08,310-65-9344,-43.388149,-0.6953315
20,C_20,I,A,USD,false,1,0,1000000,72409.24,,bank,Mitchell,Nunez,6660 Danielle Crossroad Apt. 450,South Robertfort,PR,US,79401,Male,1927-11-09,830-46-6737,-161.112995,74.220991
21,C_21,I,A,USD,false,1,0,1000000,93546.54,,bank,Taylor,Santos,17200 Crystal Cove Suite 367,North Chelseamouth,KS,US,83379,Female,2000-02-23,731-80-4856,-111.758809,14.0578475
22,C_22,I,A,USD,false,1,0,1000000,94007.32,,bank,Katelyn,Santana,306 Watson Field,Kellyland,WV,US,05741,Female,1978-01-13,683-73-9369,-64.046951,-28.352392
23,C_23,I,A,USD,false,1,0,1000000,99168.24,,bank,Jessica,Butler,412 Snow Manors Apt. 161,South Kimtown,GU,US,59053,Female,1974-11-05,885-42-4139,-137.834941,4.624310
24,C_24,I,A,USD,true,1,0,1000000,53332.53,,bank,Todd,Martinez,055 Alejandro Fort Suite 192,North Jamie,MN,US,96459,Male,1908-03-26,301-48-0404,144.725425,-27.491287
25,C_25,I,A,USD,false,1,0,1000000,98268.42,,bank,Makayla,White,1754 Anthony Fords,Matthewport,OR,US,73010,Female,1918-04-03,106-69-9517,-14.771265,-48.0158735
26,C_26,I,A,USD,false,1,0,1000000,55712.15,,bank,Michael,Anderson,35833 Kelly Manor,Port Davidtown,ID,US,10714,Male,1948-01-01,564-54-2332,137.331791,23.330428
27,C_27,I,A,USD,false,1,0,1000000,73519.93,,bank,Destiny,Grant,37580 Ortiz Mall Suite 735,Stephanieland,AR,US,14737,Female,2000-12-01,158-90-7310,34.091723,-40.2372505
28,C_28,I,A,USD,false,1,0,1000000,69375.75,,bank,Edwin,Mack,37582 Ford Route Apt. 734,Port Hollymouth,DC,US,29170,Male,1992-11-06,309-70-9981,-96.129431,23.8727555
29,C_29,I,A,USD,false,1,0,1000000,85092.23,,bank,Shelby,Chambers,73864 David Skyway Apt. 046,Wallaceview,NY,US,37646,Female,1933-12-07,610-11-0581,-142.174403,-19.5392385
30,C_30,I,A,USD,false,1,0,1000000,55751.12,,bank,Jacob,Fuller,83216 Campbell Dale Apt. 816,Figueroaview,OR,US,58482,Male,1928-08-18,127-90-1975,24.777467,17.700744
31,C_31,I,A,USD,false,1,0,1000000,70795.70,,bank,Brenda,Simpson,457 Robinson Overpass,Trevorton,AL,US,39846,Female,1991-10-17,221-04-5823,73.150133,14.949148
32,C_32,I,A,USD,false,1,0,1000000,63029.65,,bank,Brenda,Berry,116 Michael Crescent,West Morganport,MO,US,30213,Female,1933-04-11,108-56-7552,-2.727496,13.114153
33,C_33,I,A,USD,false,1,0,1000000,59443.26,,bank,Daniel,Gonzalez,627 Alexandria Curve Apt. 275,Simmonsfort,WA,US,96155,Male,1935-01-21,601-91-0816,28.492529,-81.066671
