acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,branch_id,open_dt,close_dt,prior_sar_count,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
0,C_0,I,A,USD,1,0,1000000,false,85512.67,,bank_a,Stephanie,Collins,48764 Howard Forge Apt. 421,Vanessaside,VT,US,79393,Female,2006-09-06,076-88-5410,73.479690,60.2738415
1,C_1,I,A,USD,1,0,1000000,true,89252.39,,bank_a,Samantha,Cook,9387 Grimes Green Apt. 801,Pagetown,RI,US,65195,Female,2006-09-28,334-91-1032,-77.421639,62.3400045
2,C_2,I,A,USD,1,0,1000000,false,81263.29,,bank_a,Robert,Fernandez,711 Golden Overpass,West Andreaville,OH,US,44115,Male,2016-02-25,618-71-9628,-25.565183,29.450832
3,C_3,I,A,USD,1,0,1000000,false,80594.85,,bank_a,Stephanie,Leblanc,9342 Lori Bypass Suite 711,East Sandra,MP,US,11019,Female,1980-12-04,700-51-8595,-32.020057,50.066962
4,C_4,I,A,USD,1,0,1000000,true,91403.16,,bank_a,Lorraine,Bruce,969 Hayes Shore,Christopherville,NM,US,77450,Female,1940-06-05,017-94-4441,-117.114006,-30.820575
5,C_5,I,A,USD,1,0,1000000,false,66656.76,,bank_a,Barbara,Davis,6012 Brandon Ports,North Davidborough,PA,US,75992,Female,2020-11-01,119-05-9921,-168.383986,-37.764890
6,C_6,I,A,USD,1,0,1000000,true,86513.93,,bank_a,Christopher,Gordon,086 Mary Cliff,North Deborah,MI,US,57657,Male,1912-09-16,611-13-6411,-72.971675,-20.171012
7,C_7,I,A,USD,1,0,1000000,false,85182.13,,bank_a,Shelly,Lowery,230 Megan Junctions Suite 197,North Thomas,MT,US,75095,Female,1995-09-02,366-50-4112,-97.637148,60.484975
8,C_8,I,A,USD,1,0,1000000,true,53149.21,,bank_a,James,Perry,150 Taylor Track Suite 594,Brittanyberg,VT,US,41172,Male,1995-12-06,083-01-9742,-76.754602,-0.234729
9,C_9,I,A,USD,1,0,1000000,true,95850.95,,bank_a,Austin,Miles,769 Johnson Well,Bartonton,GA,US,58874,Male,1968-02-06,541-63-9199,144.257890,-89.9814355
10,C_10,I,A,USD,1,0,1000000,false,61085.19,,bank_a,Nicole,Baird,4706 Amy Roads Apt. 206,Stewartborough,AL,US,94522,Female,1999-04-28,542-79-1603,-77.747603,-58.081979
11,C_11,I,A,USD,1,0,1000000,false,90167.25,,bank_a,Casey,Meyer,4217 Burton Brooks,Robinville,VI,US,34119,Male,1995-12-03,661-45-1886,-97.085583,-15.2649345
12,C_12,I,A,USD,1,0,1000000,true,57124.72,,bank_a,Jaime,Medina,34855 Meghan Squares,Josephmouth,SC,US,57575,Male,1935-08-21,385-76-4769,-175.223413,-52.8332455
13,C_13,I,A,USD,1,0,1000000,true,77149.50,,bank_a,John,Allen,5159 Blake Estates Apt. 945,Haysberg,LA,US,15560,Male,1913-12-01,316-23-8570,-141.955780,-8.752464
14,C_14,I,A,USD,1,0,1000000,true,54560.80,,bank_a,Michael,Moore,6118 Wells Ville Suite 171,Simmonsport,MA,US,96806,Male,1930-01-07,642-73-6154,162.995295,-66.6671135
15,C_15,I,A,USD,1,0,1000000,false,99661.08,,bank_a,Daniel,Miller,30601 Hawkins Highway,Morashire,VT,US,89538,Male,1937-04-24,268-75-2730,51.510024,-38.4751525
